N 38418
M 143314
R 500
# u v length
1 27 82.0
27 1 82.0
1 16 38.0
16 1 38.0
2 3068 86.0
3068 2 86.0
2 25240 24.0
25240 2 24.0
2 24553 40.0
24553 2 40.0
3 22221 56.0
22221 3 56.0
3 23361 74.0
23361 3 74.0
3 8604 34.0
8604 3 34.0
3 1821 44.0
1821 3 44.0
4 2961 178.0
2961 4 178.0
4 30152 64.0
30152 4 64.0
4 3902 176.0
3902 4 176.0
4 21887 58.0
21887 4 58.0
5 28298 70.0
28298 5 70.0
5 33169 2.0
33169 5 2.0
5 23188 24.0
23188 5 24.0
6 28096 52.0
28096 6 52.0
6 28169 16.0
28169 6 16.0
6 35654 76.0
35654 6 76.0
6 10325 16.0
10325 6 16.0
7 1643 4.0
1643 7 4.0
7 447 70.0
447 7 70.0
7 36887 4.0
36887 7 4.0
7 36190 2.0
36190 7 2.0
8 33459 140.0
33459 8 140.0
8 9616 4.0
9616 8 4.0
8 35693 2.0
35693 8 2.0
8 24285 6.0
24285 8 6.0
9 18023 16.0
18023 9 16.0
9 8584 24.0
8584 9 24.0
9 14363 158.0
14363 9 158.0
10 38210 34.0
38210 10 34.0
10 32860 90.0
32860 10 90.0
10 25129 46.0
25129 10 46.0
10 17971 56.0
17971 10 56.0
11 30763 22.0
30763 11 22.0
11 29120 72.0
29120 11 72.0
11 36854 46.0
36854 11 46.0
12 26586 100.0
26586 12 100.0
12 8950 128.0
8950 12 128.0
12 24275 88.0
24275 12 88.0
12 26301 54.0
26301 12 54.0
13 20559 10.0
20559 13 10.0
13 19852 14.0
19852 13 14.0
13 23779 82.0
23779 13 82.0
13 11810 46.0
11810 13 46.0
14 23487 16.0
23487 14 16.0
14 36512 120.0
36512 14 120.0
14 12807 70.0
12807 14 70.0
15 6473 114.0
6473 15 114.0
15 33941 76.0
33941 15 76.0
15 2296 34.0
2296 15 34.0
15 9926 64.0
9926 15 64.0
16 839 66.0
839 16 66.0
16 42 106.0
42 16 106.0
17 5036 40.0
5036 17 40.0
17 26785 54.0
26785 17 54.0
17 11595 32.0
11595 17 32.0
17 25385 78.0
25385 17 78.0
18 17949 24.0
17949 18 24.0
18 27317 54.0
27317 18 54.0
18 12092 44.0
12092 18 44.0
18 7169 62.0
7169 18 62.0
19 24550 82.0
24550 19 82.0
19 11919 30.0
11919 19 30.0
19 5270 58.0
5270 19 58.0
19 20982 188.0
20982 19 188.0
20 12355 48.0
12355 20 48.0
20 9242 12.0
9242 20 12.0
20 22198 64.0
22198 20 64.0
20 17841 78.0
17841 20 78.0
21 7170 76.0
7170 21 76.0
21 31591 66.0
31591 21 66.0
21 28333 108.0
28333 21 108.0
21 34525 8.0
34525 21 8.0
22 5015 36.0
5015 22 36.0
22 38098 132.0
38098 22 132.0
22 1566 84.0
1566 22 84.0
22 1994 42.0
1994 22 42.0
23 10592 8.0
10592 23 8.0
23 18576 68.0
18576 23 68.0
23 30561 6.0
30561 23 6.0
23 29579 24.0
29579 23 24.0
24 18830 42.0
18830 24 42.0
24 27447 50.0
27447 24 50.0
24 24766 6.0
24766 24 6.0
24 6084 34.0
6084 24 34.0
25 5764 6.0
5764 25 6.0
25 31546 24.0
31546 25 24.0
25 9541 114.0
9541 25 114.0
25 5672 64.0
5672 25 64.0
26 25341 68.0
25341 26 68.0
26 12555 46.0
12555 26 46.0
26 17411 8.0
17411 26 8.0
26 29896 44.0
29896 26 44.0
27 32 22.0
32 27 22.0
27 1027 38.0
1027 27 38.0
28 12703 100.0
12703 28 100.0
28 18558 92.0
18558 28 92.0
28 2851 40.0
2851 28 40.0
29 32510 32.0
32510 29 32.0
29 7936 68.0
7936 29 68.0
29 14435 76.0
14435 29 76.0
30 12173 4.0
12173 30 4.0
30 26056 26.0
26056 30 26.0
30 33533 40.0
